Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
15994,Malakisi Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,25,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,Yes,No,Yes,No,,Yes,Yes,No
15950,Kimilili Subcounty Hospital,,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,78,0,BUNGOMA,KIMILILI,kimilili,KIMILILI,Operational,Yes,No,Yes,No,,Yes,Yes,No
16130,Sirisia Hospital,,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,31,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
14981,Kolongolo C.M Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
15828,Bungoma County Referal Hospital,,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,216,7,BUNGOMA,KANDUYI,kanduyi,TOWNSHIP,Operational,Yes,No,Yes,No,,Yes,Yes,No
16706,Bokoli Base Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,No,No,No,No,,Yes,Yes,No
16709,Jaggery Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,0,0,BUNGOMA,WEBUYE EAST,webuye east,MIHUU,Operational,No,No,No,No,,Yes,Yes,No
16707,Emmanuel Medical Clinic (Bungoma East),,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
16708,Highway Medical Clinic (Bungoma East),,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Clinical Officers Council,0,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,No,No,No,No,,Yes,Yes,No
16020,Mission of Mercy Clinic,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,BUNGOMA,KANDUYI,kanduyi,TOWNSHIP,Operational,No,No,No,No,,Yes,Yes,No
15947,Kimaeti Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,16,0,BUNGOMA,BUMULA,bumula,KIMAETI,Operational,No,No,Yes,No,,Yes,Yes,No
15944,Kibuke Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,BUNGOMA,BUMULA,bumula,WEST BUKUSU,Operational,No,No,No,No,,Yes,Yes,No
16163,Webuye Surgical,,Level 2,Dispensaries and clinic-out patient only,Private Enterprise (Institution),Kenya MPDB - Institution,6,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,Yes,No,No,No,,Yes,Yes,No
15860,Chwele Sub district hospital,,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,12,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,Yes,No,Yes,No,,Yes,Yes,No
15917,Kamenjo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,No,No,No,No,,Yes,Yes,No
15980,Lwandanyi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,No,No,No,No,,Yes,Yes,No
16389,Matulo Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,MATULO,Operational,No,No,No,No,,Yes,Yes,No
15932,Khalumuli Dispensary,,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,SITIKHO,Operational,No,No,No,No,,Yes,Yes,No
16388,Mahanga Dispensary (Bokoli),,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,No,No,No,No,,Yes,Yes,No
16028,Mukhe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,BUNGOMA,WEBUTE WEST,webuye west,MISIKHU,Operational,No,No,No,No,,Yes,Yes,No
16711,Lukusi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Public Institution,Other,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
